Address,City,State,Zipcode,Price,Bedrooms,Bathrooms,Living Area,Lot Area,Type
11718 Fawnview Dr,Houston,TX,77070,65000.0,,0.0,,9600.624,LOT
6307 Sandra St,Houston,TX,77028,399000.0,3.0,2.0,2298.0,3470.0,MULTI_FAMILY
14550 Myers Dr,Houston,TX,77090,380000.0,4.0,3.0,2927.0,7013.16,SINGLE_FAMILY
1778 Lakeside Enclave Dr,Houston,TX,77077,528000.0,4.0,4.0,3062.0,9023.0,SINGLE_FAMILY
9531 Everglade St #A-B,Houston,TX,77028,409000.0,3.0,3.0,2360.0,7020.0,MULTI_FAMILY
8815 Shadow Crest St,Houston,TX,77074,235000.0,3.0,2.0,1624.0,8102.16,SINGLE_FAMILY
7611 Belgard St,Houston,TX,77033,149999.0,3.0,1.0,1213.0,8158.788,SINGLE_FAMILY
6811 Eagle Pass St,Houston,TX,77020,279000.0,4.0,2.0,1966.0,5000.688,SINGLE_FAMILY
754 E 16th St,Houston,TX,77008,799000.0,2.0,1.0,1129.0,5000.688,SINGLE_FAMILY
1827 Clover Spring Dr,Kingwood,TX,77339,369250.0,4.0,3.0,2210.0,10837.728,SINGLE_FAMILY
909 Oak St #C,Houston,TX,77018,399000.0,3.0,3.0,1859.0,2263.0,SINGLE_FAMILY
15734 Lakedale Dr,Houston,TX,77095,359000.0,3.0,2.0,1871.0,0.2613,SINGLE_FAMILY
18018 Bambriar Dr,Houston,TX,77090,310000.0,5.0,3.0,2678.0,8999.496,SINGLE_FAMILY
13807 Clintway Dr,Houston,TX,77014,215000.0,4.0,3.0,2272.0,7034.94,SINGLE_FAMILY
8517 Wilcrest Dr,Houston,TX,77099,156500.0,2.0,2.0,1428.0,1728.0,TOWNHOUSE
13051 Meadowline Dr,Houston,TX,77082,309999.0,3.0,3.0,2632.0,5675.868,SINGLE_FAMILY
708 Sienna Palm Ln,Houston,TX,77008,489700.0,3.0,4.0,1901.0,1493.0,SINGLE_FAMILY
608 Middle St UNIT B,Houston,TX,77003,3200.0,3.0,4.0,2041.0,1412.0,SINGLE_FAMILY
5511 Enid St,Houston,TX,77009,430000.0,6.0,3.0,896.0,10423.908,SINGLE_FAMILY
1518 W 23rd St,Houston,TX,77008,575000.0,3.0,4.0,2563.0,1850.0,SINGLE_FAMILY
1103 Imperial Lake Dr,Houston,TX,77073,255000.0,4.0,3.0,2222.0,5501.628,SINGLE_FAMILY
5922 Arboles Dr,Houston,TX,77035,315000.0,3.0,2.0,2012.0,8398.368,SINGLE_FAMILY
7405 Sterlingshire St,Houston,TX,77016,194900.0,3.0,1.0,986.0,7200.468,SINGLE_FAMILY
1214 Crockett St,Houston,TX,77007,515000.0,2.0,1.0,1108.0,5000.688,SINGLE_FAMILY
14706 Branchwest Dr,Houston,TX,77082,319500.0,4.0,3.0,2354.0,4447.476,SINGLE_FAMILY
1300 Augusta Dr APT 6,Houston,TX,77057,249900.0,2.0,3.0,1385.0,2.4106,TOWNHOUSE
12239 Rocky Knoll Dr,Houston,TX,77077,420000.0,4.0,3.0,2549.0,7853.868,SINGLE_FAMILY
205 Norwood St,Houston,TX,77011,255000.0,2.0,1.0,920.0,6250.86,SINGLE_FAMILY
3533 Alderfer A B St,Houston,TX,77047,498000.0,3.0,2.0,2284.0,10370.0,MULTI_FAMILY
6214 Redwood Bridge Trl,Kingwood,TX,77345,595000.0,4.0,4.0,3734.0,0.2652,SINGLE_FAMILY
7714 Hornwood Dr,Houston,TX,77036,299000.0,3.0,2.0,,,SINGLE_FAMILY
3533 Alderfer St,Houston,TX,77047,1498000.0,3.0,2.0,6852.0,10370.0,MULTI_FAMILY
4035 Owl Echo Ct,Houston,TX,77082,325000.0,4.0,3.0,2629.0,8141.364,SINGLE_FAMILY
10706 Skillings Ridge Dr,Houston,TX,77075,346500.0,4.0,3.0,2576.0,7448.76,SINGLE_FAMILY
16135 Green Manor Dr,Humble,TX,77396,270000.0,4.0,2.0,1400.0,10271.448,SINGLE_FAMILY
3601 Fuqua St,Houston,TX,77047,4200000.0,3.0,2.0,19308.0,0.7465105601469237,MULTI_FAMILY
5747 Longmont Ln,Houston,TX,77057,825000.0,4.0,4.0,3326.0,3131.0,SINGLE_FAMILY
4155 Amir St,Houston,TX,77072,235000.0,3.0,2.0,1526.0,4456.188,SINGLE_FAMILY
15022 Brookpoint Dr,Houston,TX,77062,360000.0,4.0,3.0,2294.0,9016.92,SINGLE_FAMILY
7514 Tremendo Dr,Houston,TX,77083,252000.0,3.0,2.0,1382.0,6307.488,SINGLE_FAMILY
2520 Houston Ave #201,Houston,TX,77009,718500.0,2.0,2.0,1450.0,,CONDO
1714 Vassar St,Houston,TX,77098,775000.0,3.0,5.0,3402.0,3245.22,SINGLE_FAMILY
2240 Mimosa Dr #3W,Houston,TX,77019,2395000.0,3.0,3.0,2497.0,,CONDO
2240 Mimosa Dr #6E,Houston,TX,77019,3750000.0,3.0,4.0,3141.0,,CONDO
2240 Mimosa Dr #5N,Houston,TX,77019,2099000.0,3.0,3.0,2242.0,,CONDO
2240 Mimosa Dr #4E,Houston,TX,77019,3095000.0,3.0,4.0,3141.0,,CONDO
14418 Bramblewood Dr,Houston,TX,77079,1325000.0,4.0,4.0,3310.0,9718.236,SINGLE_FAMILY
18642 Prince William Ln,Houston,TX,77058,449900.0,3.0,3.0,2203.0,9600.624,SINGLE_FAMILY
3212 Lamar St,Houston,TX,77003,360000.0,2.0,3.0,1524.0,2008.116,SINGLE_FAMILY
213 Grace St,Houston,TX,77003,369900.0,2.0,1.0,1150.0,5000.688,SINGLE_FAMILY
11015 Stroud Dr,Houston,TX,77072,249000.0,3.0,2.0,1057.0,6050.484,SINGLE_FAMILY
7527 Jalna St,Houston,TX,77055,325000.0,3.0,2.0,1607.0,8908.02,SINGLE_FAMILY
15510 Sierra Valle Dr,Houston,TX,77083,290000.0,4.0,2.0,1971.0,7200.468,SINGLE_FAMILY
1340 Country Place Dr,Houston,TX,77079,298000.0,3.0,3.0,2116.0,1357.0,TOWNHOUSE
7425 Greenstone St,Houston,TX,77087,188000.0,2.0,1.0,1192.0,7923.564,SINGLE_FAMILY
14523 Mountain Cliff Ln,Houston,TX,77044,448985.0,4.0,4.0,3382.0,7805.952,SINGLE_FAMILY
857 Prosper St,Houston,TX,77088,354990.0,3.0,3.0,,2225.916,SINGLE_FAMILY
4102 Engelke St,Houston,TX,77003,299000.0,2.0,1.0,1536.0,4600.0,MULTI_FAMILY
4813 Ella Blvd,Houston,TX,77018,695000.0,4.0,3.0,2733.0,10201.752,SINGLE_FAMILY
1426 W 34th 1/2 St,Houston,TX,77018,489990.0,3.0,4.0,2111.0,1733.688,SINGLE_FAMILY
6610 Deckard St,Houston,TX,77061,324900.0,3.0,2.0,2452.0,0.2829,SINGLE_FAMILY
1217 Niagara St,Houston,TX,77051,521847.0,4.0,4.0,2675.0,0.27,SINGLE_FAMILY
14550 Fonmeadow Dr APT 1204,Houston,TX,77035,1150.0,1.0,1.0,1057.0,3.1192,CONDO
1218 W Forest Dr,Houston,TX,77043,579000.0,4.0,3.0,3072.0,6089.688,SINGLE_FAMILY
2337 Hoskins Dr,Houston,TX,77080,369990.0,3.0,3.0,1767.0,1694.484,SINGLE_FAMILY
4818 Wynnewood St,Houston,TX,77013,345000.0,3.0,3.0,1735.0,0.977,SINGLE_FAMILY
12210 Carriage Hill Dr,Houston,TX,77077,497000.0,3.0,3.0,2638.0,8237.196,SINGLE_FAMILY
9350 Country Creek Dr,Houston,TX,77036,155000.0,3.0,2.0,1272.0,2.9546,CONDO
7707 W Gulf Bank Rd,Houston,TX,77040,239990.0,3.0,2.0,1015.0,8084.736,SINGLE_FAMILY
5835 Braesheather Dr,Houston,TX,77096,419000.0,3.0,2.0,2057.0,10240.956,SINGLE_FAMILY
4407 Mount Vernon St,Houston,TX,77006,959900.0,4.0,4.0,3112.0,2925.0,SINGLE_FAMILY
2214 Hialeah Dr,Houston,TX,77018,999000.0,4.0,3.0,2709.0,7261.452,SINGLE_FAMILY
2002 Sweet Lilac Dr,Houston,TX,77090,240000.0,3.0,3.0,1656.0,3380.256,SINGLE_FAMILY
4007 Porter St,Houston,TX,77021,135000.0,4.0,2.0,1672.0,7200.468,SINGLE_FAMILY
12346 Wellington Park Dr,Houston,TX,77072,240000.0,3.0,2.0,1416.0,4098.996,SINGLE_FAMILY
15614 Liberty Vista Trl,Houston,TX,77049,250000.0,3.0,3.0,2210.0,4639.14,SINGLE_FAMILY
7922 Fall Hollow Dr,Houston,TX,77041,499900.0,4.0,4.0,3149.0,7940.988,SINGLE_FAMILY
1717 Goliad St,Houston,TX,77007,525000.0,3.0,4.0,2234.0,2090.88,SINGLE_FAMILY
10615 Briar Forest Dr APT 104,Houston,TX,77042,141500.0,0.0,2.0,922.0,3.0176,TOWNHOUSE
10226 Pine Forest Rd,Houston,TX,77042,1495000.0,5.0,5.0,4428.0,9670.32,SINGLE_FAMILY
15514 Western Skies Dr,Houston,TX,77086,259950.0,3.0,3.0,1848.0,4935.348,SINGLE_FAMILY
4302 Wigton Dr,Houston,TX,77096,644900.0,4.0,3.0,2470.0,9600.0,SINGLE_FAMILY
2211 S Braeswood Blvd #21J,Houston,TX,77030,174000.0,3.0,2.0,1259.0,3.7163,CONDO
8147 Detroit St,Houston,TX,77017,299980.0,3.0,2.0,2176.0,0.4012,SINGLE_FAMILY
8610 Viera Ln,Houston,TX,77075,315000.0,3.0,2.0,1522.0,4525.884,SINGLE_FAMILY
6447 Westchester Ave,Houston,TX,77005,2899000.0,5.0,6.0,6099.0,7501.032,SINGLE_FAMILY
10702 Lyndon Meadows Dr,Houston,TX,77095,317990.0,3.0,2.0,1915.0,6155.028,SINGLE_FAMILY
8177 Count St,Houston,TX,77028,269000.0,3.0,2.0,1404.0,0.4447,SINGLE_FAMILY
10142 Beekman Place Dr,Houston,TX,77043,219000.0,2.0,3.0,1386.0,1768.0,TOWNHOUSE
6416 Eagle Pass St,Houston,TX,77020,320000.0,3.0,2.0,1284.0,5000.688,SINGLE_FAMILY
12500 Sandpiper Dr APT 13,Houston,TX,77035,65000.0,1.0,1.0,729.0,4.5457,CONDO
9819 Canterhurst Cir,Houston,TX,77065,299000.0,4.0,2.0,1967.0,8001.972,SINGLE_FAMILY
250 El Dorado Blvd #197,Houston,TX,77062,109900.0,1.0,1.0,648.0,8.5233,CONDO
7631 Alegria Dr,Houston,TX,77083,220000.0,3.0,2.0,1148.0,5510.34,SINGLE_FAMILY
3911 Blue Meadow Ln,Houston,TX,77039,141500.0,4.0,2.0,1141.0,7562.016,SINGLE_FAMILY
12123 Waldemar Dr,Houston,TX,77077,485000.0,4.0,3.0,2504.0,7866.936,SINGLE_FAMILY
11414 Sagegrove Ln,Houston,TX,77089,254000.0,3.0,2.0,1746.0,7148.196,SINGLE_FAMILY
2416 Wroxton Rd,Houston,TX,77005,1499000.0,4.0,5.0,4000.0,3000.0,SINGLE_FAMILY
7907 Glen Prairie St,Houston,TX,77061,224900.0,3.0,3.0,2768.0,10171.26,SINGLE_FAMILY
3526 Marquesa Ln,Houston,TX,77084,345999.0,4.0,3.0,2222.0,5858.82,SINGLE_FAMILY
3739 Westerman St,Houston,TX,77005,2700000.0,4.0,7.0,5377.0,9853.272,SINGLE_FAMILY
5723 Sweetbriar St,Houston,TX,77017,210000.0,4.0,2.0,1251.0,6000.0,SINGLE_FAMILY
4415 Floyd St #A,Houston,TX,77007,631000.0,3.0,4.0,2490.0,2500.344,SINGLE_FAMILY
5215 Calle Montilla Pl,Houston,TX,77007,739000.0,3.0,4.0,2979.0,1729.0,TOWNHOUSE
14810 N Eldridge Pkwy,Houston,TX,77070,409000.0,4.0,3.0,2549.0,8001.972,SINGLE_FAMILY
12514 Colemans Way,Houston,TX,77089,495000.0,4.0,3.0,3036.0,8781.696,SINGLE_FAMILY
11030 Hayslip Ln,Houston,TX,77041,279000.0,3.0,2.0,1459.0,7501.032,SINGLE_FAMILY
7804 Crestview Dr,Houston,TX,77028,390000.0,3.0,2.0,2300.0,3114.0,MULTI_FAMILY
18130 Brookes Bnd,Houston,TX,77094,425000.0,4.0,2.0,2129.0,6168.096,SINGLE_FAMILY
4110 Terry St,Houston,TX,77009,415000.0,2.0,1.0,,5009.4,SINGLE_FAMILY
6317 Buffalo Speedway W,Houston,TX,77005,2650000.0,4.0,5.0,4500.0,10001.376,SINGLE_FAMILY
6428 Cebra St,Houston,TX,77091,469000.0,4.0,3.0,2668.0,5362.236,SINGLE_FAMILY
7323 Elbert St,Houston,TX,77028,239999.0,3.0,2.0,1444.0,0.4591,SINGLE_FAMILY
3419 Willow Ridge Dr,Humble,TX,77339,408500.0,4.0,4.0,2980.0,9600.624,SINGLE_FAMILY
12329 Ashcroft Dr,Houston,TX,77035,299900.0,4.0,2.0,1984.0,7679.628,SINGLE_FAMILY
5902 Lansdown Dr,Houston,TX,77049,249900.0,3.0,2.0,1725.0,8280.756,SINGLE_FAMILY
14302 Hartshill Dr,Houston,TX,77044,485000.0,4.0,4.0,3700.0,9957.816,SINGLE_FAMILY
2020 Tuam St,Houston,TX,77004,349000.0,3.0,4.0,1872.0,1405.0,TOWNHOUSE
2415 Ralph St UNIT A,Houston,TX,77006,714999.0,3.0,4.0,2464.0,2500.344,SINGLE_FAMILY
11622 Normont Dr,Houston,TX,77070,525000.0,5.0,5.0,4438.0,9600.624,SINGLE_FAMILY
14419 Brentshire Ln,Houston,TX,77069,649990.0,5.0,4.0,4749.0,0.3196,SINGLE_FAMILY
11110 Waxwing St,Houston,TX,77035,459000.0,3.0,2.0,1993.0,7588.152,SINGLE_FAMILY
4601 Creekbend Dr,Houston,TX,77035,415000.0,3.0,2.0,2634.0,9374.112,SINGLE_FAMILY
3915 Tidewater Dr,Houston,TX,77045,339000.0,4.0,3.0,2886.0,9108.396,SINGLE_FAMILY
0 Vinewood Cir,Houston,TX,77088,260000.0,,0.0,,0.416,LOT
3834 Griggs Rd,Houston,TX,77021,1258000.0,,0.0,,,LOT
9439 Southpoint Wind Ln,Houston,TX,77040,275000.0,3.0,3.0,1434.0,3402.036,SINGLE_FAMILY
15403 El Padre Dr,Houston,TX,77083,335000.0,4.0,3.0,2921.0,5945.94,SINGLE_FAMILY
13226 Robinglen Dr,Houston,TX,77083,235000.0,3.0,2.0,1350.0,5501.628,SINGLE_FAMILY
2710 Evergreen Cliff Trl,Kingwood,TX,77345,499900.0,5.0,4.0,3506.0,0.2658,SINGLE_FAMILY
0 Lincolnshire Rd LOT 38,Houston,TX,77048,199500.0,,0.0,,0.4591,LOT
4010 Amalie St,Houston,TX,77093,180000.0,3.0,1.0,840.0,7579.44,SINGLE_FAMILY
4733 Lincolnshire Rd LOT 36 & 37,Houston,TX,77048,350000.0,,0.0,,,LOT
11722 Plumbrook Dr,Houston,TX,77099,285000.0,3.0,3.0,2298.0,5250.0,SINGLE_FAMILY
8419 Hearth Dr APT 32,Houston,TX,77054,97000.0,2.0,2.0,1092.0,14.7915,CONDO
2822 S Bartell Dr APT 37,Houston,TX,77054,78000.0,2.0,2.0,955.0,1.9963,CONDO
8529 Hearth Dr,Houston,TX,77054,137500.0,3.0,2.0,1500.0,14.7915,CONDO
12231 Briar Forest Dr,Houston,TX,77077,379000.0,3.0,2.0,1945.0,8367.876,SINGLE_FAMILY
4521 San Felipe St #2604,Houston,TX,77027,1180000.0,3.0,3.0,2164.0,,CONDO
27 Foxshire Ln,Houston,TX,77047,369000.0,4.0,3.0,1725.0,2214.0,SINGLE_FAMILY
7602 Dixie Dr,Houston,TX,77087,245000.0,3.0,1.0,1616.0,0.2898,SINGLE_FAMILY
5910 Winsome Ln APT 5,Houston,TX,77057,324900.0,2.0,3.0,1718.0,1373.0,TOWNHOUSE
1916 Addison Rd,Houston,TX,77030,819950.0,2.0,2.0,1497.0,7318.08,SINGLE_FAMILY
5917 Pickfair St,Houston,TX,77026,129900.0,3.0,2.0,1214.0,4199.184,SINGLE_FAMILY
8046 Chateau St,Houston,TX,77028,335000.0,3.0,3.0,1901.0,3998.808,SINGLE_FAMILY
0 Windfern Rd,Houston,TX,77064,400.0,,0.0,,0.4811,LOT
5312 Brownway St #A7,Houston,TX,77056,415000.0,3.0,3.0,2200.0,2.0237,CONDO
3210 Shenandoah St,Houston,TX,77021,1199900.0,6.0,4.0,3619.0,8049.888,SINGLE_FAMILY
8515 Hearth Dr,Houston,TX,77054,99000.0,2.0,2.0,1092.0,14.7915,CONDO
1110 Loire Ln,Houston,TX,77090,265000.0,5.0,3.0,2684.0,9748.728,SINGLE_FAMILY
11951 Cedar Pass Dr,Houston,TX,77077,499000.0,4.0,3.0,2607.0,8855.748,SINGLE_FAMILY
425 Blalock Rd,Houston,TX,77024,2000000.0,,0.0,,0.974,LOT
2212 McDuffie St,Houston,TX,77019,1350000.0,4.0,5.0,4105.0,5505.984,SINGLE_FAMILY
6000 Reims Rd APT 2804,Houston,TX,77036,179900.0,2.0,3.0,1640.0,11.8988,CONDO
421 Blalock Rd,Houston,TX,77024,2000000.0,,0.0,,0.947,LOT
5311 Jason St,Houston,TX,77096,469000.0,3.0,2.0,2278.0,10789.812,SINGLE_FAMILY
5802 Crane St,Houston,TX,77026,175000.0,2.0,1.0,1038.0,10859.508,SINGLE_FAMILY
8702 Stable Crest Blvd,Houston,TX,77024,3300000.0,5.0,7.0,6956.0,0.3389,SINGLE_FAMILY
7520 Hornwood Dr APT 808,Houston,TX,77036,115000.0,1.0,1.0,867.0,,CONDO
18301 Starboard Dr,Houston,TX,77058,575000.0,4.0,3.0,3349.0,2688.0,TOWNHOUSE
4524 Eigel St,Houston,TX,77007,640000.0,4.0,4.0,2666.0,1650.924,SINGLE_FAMILY
14777 Wunderlich Dr APT 1402,Houston,TX,77069,130000.0,1.0,1.0,1055.0,12.3083,CONDO
5950 Westover St,Houston,TX,77033,160000.0,3.0,1.0,1138.0,6298.776,SINGLE_FAMILY
9305 Coffee St,Houston,TX,77033,139995.0,3.0,2.0,1050.0,3963.96,SINGLE_FAMILY
7124 Avenue F #20,Houston,TX,77011,1250000.0,1.0,1.0,3752.0,7500.0,MULTI_FAMILY
9933 1/2 Sandra St,Houston,TX,77016,299500.0,,0.0,,0.8462580348943985,LOT
10555 Logger Pine Trl,Houston,TX,77088,310000.0,4.0,3.0,2384.0,4229.676,SINGLE_FAMILY
12818 Hidden Castle Dr,Houston,TX,77015,259000.0,3.0,2.0,1695.0,6995.736,SINGLE_FAMILY
1409 Morris St,Houston,TX,77009,320000.0,2.0,2.0,1148.0,5000.688,SINGLE_FAMILY
4002 Dumbarton St,Houston,TX,77025,1575000.0,4.0,4.0,3646.0,8001.972,SINGLE_FAMILY
0 Vega St,Houston,TX,77088,65000.0,,0.0,,7139.484,LOT
250 N Carolina St,Houston,TX,77029,75000.0,,0.0,,6817.14,LOT
5123 Maple Terrace Dr,Kingwood,TX,77345,525000.0,5.0,4.0,3076.0,10201.752,SINGLE_FAMILY
9940 Allwood St,Houston,TX,77016,220000.0,3.0,4.0,1854.0,0.3732,SINGLE_FAMILY
5606 Elm Springs Dr,Houston,TX,77048,205000.0,5.0,2.0,1265.0,6438.168,SINGLE_FAMILY
"RC Carlisle Plan, Memorial Heights",Houston,TX,77073,241990.0,3.0,2.0,1612.0,,SINGLE_FAMILY
12815 Deer Cove Ln,Houston,TX,77041,405000.0,4.0,4.0,2463.0,5776.056,SINGLE_FAMILY
815 Fairbanks St,Houston,TX,77009,670000.0,3.0,3.0,2056.0,7949.7,SINGLE_FAMILY
3531 Corder St #B,Houston,TX,77021,440000.0,3.0,4.0,2130.0,2500.344,SINGLE_FAMILY
13031 Sweetgum Shores Dr,Houston,TX,77044,345000.0,4.0,2.0,2330.0,6555.78,SINGLE_FAMILY
4005 Tennyson St,Houston,TX,77005,1675000.0,4.0,4.0,3463.0,5248.98,SINGLE_FAMILY
3531 Corder St #A,Houston,TX,77021,440000.0,3.0,4.0,2130.0,2500.344,SINGLE_FAMILY
13507 Treshill Ct,Houston,TX,77049,255000.0,3.0,2.0,1271.0,5174.928,SINGLE_FAMILY
11407 Iberia Dr,Houston,TX,77065,425000.0,2.0,2.0,2194.0,0.5992,SINGLE_FAMILY
11014 Marshhay Ct,Houston,TX,77086,205000.0,3.0,2.0,1463.0,4199.184,SINGLE_FAMILY
12972 Greenway Chase Ct #2972,Houston,TX,77072,199950.0,3.0,3.0,1422.0,1666.0,TOWNHOUSE
9306 Bintliff Dr,Houston,TX,77074,319000.0,3.0,2.0,1804.0,8450.64,SINGLE_FAMILY
28510 Napa Crossing Ln,Huffman,TX,77336,949000.0,4.0,4.0,3977.0,1.7634,SINGLE_FAMILY
14614 Lea Valley Dr,Houston,TX,77049,232000.0,3.0,2.0,1584.0,8125.0,SINGLE_FAMILY
8829 Carousel Ln,Houston,TX,77080,250000.0,3.0,1.0,1196.0,5235.912,SINGLE_FAMILY
7422 Darnell St,Houston,TX,77074,265000.0,4.0,3.0,2512.0,7013.16,SINGLE_FAMILY
6618 Knox St,Houston,TX,77091,305000.0,3.0,3.0,1881.0,3001.284,SINGLE_FAMILY
2001 Holcombe Blvd UNIT 3003,Houston,TX,77030,359000.0,2.0,2.0,1250.0,,CONDO
420 W 34th St,Houston,TX,77018,525000.0,2.0,1.0,1135.0,10663.488,SINGLE_FAMILY
11615 Kirkhollow Dr,Houston,TX,77089,185000.0,3.0,2.0,1414.0,7148.196,SINGLE_FAMILY
2338 Lidstone St,Houston,TX,77023,215000.0,3.0,1.0,1400.0,5000.688,SINGLE_FAMILY
10030 Tiger Flower Ln,Houston,TX,77016,255990.0,3.0,2.0,1401.0,,SINGLE_FAMILY
6145 W Montgomery Rd,Houston,TX,77091,359900.0,3.0,4.0,1786.0,1402.632,SINGLE_FAMILY
815 Reinerman St,Houston,TX,77007,619900.0,3.0,4.0,2614.0,2260.764,SINGLE_FAMILY
17518 Cypress Laurel St,Houston,TX,77095,575000.0,5.0,5.0,3751.0,9914.256,SINGLE_FAMILY
2336 Fairwind Rd,Houston,TX,77062,259900.0,2.0,3.0,1343.0,1171.0,TOWNHOUSE
2507 Joseph Pine Ln,Houston,TX,77088,173000.0,3.0,2.0,1456.0,6316.2,MANUFACTURED
3918 Rock Springs Dr,Kingwood,TX,77345,385000.0,4.0,3.0,2416.0,8703.288,SINGLE_FAMILY
1433 Scharpe St,Houston,TX,77023,425000.0,6.0,5.0,1647.0,6250.86,MULTI_FAMILY
11511 Sugarbush Ridge Ln,Houston,TX,77089,307000.0,4.0,2.0,1866.0,6207.3,SINGLE_FAMILY
2105 Wavell St,Houston,TX,77088,310000.0,3.0,3.0,1762.0,3741.0,SINGLE_FAMILY
5318 Cortelyou Ln,Houston,TX,77021,305000.0,3.0,2.0,1752.0,6381.54,SINGLE_FAMILY
6118 Shadow Crest St,Houston,TX,77074,378000.0,4.0,2.0,2137.0,8576.964,SINGLE_FAMILY
2435 Prairie Hollow Ln,Houston,TX,77077,920000.0,4.0,5.0,3212.0,2495.988,SINGLE_FAMILY
5637 Ella Lee Ln,Houston,TX,77056,700000.0,3.0,2.0,2088.0,9151.956,SINGLE_FAMILY
8824 Riverwell Cir W,Houston,TX,77083,360000.0,4.0,3.0,2800.0,6751.8,SINGLE_FAMILY
3505 Bradford St,Houston,TX,77025,546000.0,3.0,4.0,2136.0,1579.0,TOWNHOUSE
2011 Sul Ross St,Houston,TX,77098,1149000.0,3.0,4.0,2895.0,3436.884,SINGLE_FAMILY
